schooltype,Arab,Grouptype,Group Name,SelfTransendence,OpenessToChange,Conservation,SelfEnhancement,,,,,,
1.00,0.00,1,JewBiling,1.10,0.77,-1.90,0.43,,,,,,
1.00,0.00,1,JewBiling,1.70,0.53,-1.47,0.20,,,,,1,JewBiling
1.00,0.00,1,JewBiling,1.50,0.33,-0.67,0.00,,,,,2,JewMix
1.00,0.00,1,JewBiling,1.30,0.47,-0.53,-0.87,,,,,3,JewSeg
1.00,0.00,1,JewBiling,0.70,-0.63,-0.63,0.70,,,,,4,ArabBil
1.00,0.00,1,JewBiling,1.60,0.60,-0.73,-0.40,,,,,5,Arab=Mix
1.00,0.00,1,JewBiling,-0.20,0.97,-0.37,-0.03,,,,,6,ArabSeg
1.00,0.00,1,JewBiling,1.20,0.70,-0.30,-0.97,,,,,,
1.00,0.00,1,JewBiling,-0.30,1.53,-1.13,0.53,,,,,,
1.00,0.00,1,JewBiling,0.90,1.07,-1.27,0.40,,,,,,
1.00,0.00,1,JewBiling,1.10,-0.57,-0.57,0.10,,,,,,
1.00,0.00,1,JewBiling,0.80,0.63,-0.70,-0.37,,,,,,
1.00,0.00,1,JewBiling,-0.10,0.90,-1.10,0.57,,,,,,
1.00,0.00,1,JewBiling,1.90,0.23,-2.10,1.23,,,,,,
1.00,0.00,1,JewBiling,1.30,0.47,-0.87,-1.20,,,,,,
1.00,0.00,1,JewBiling,0.30,0.30,-1.03,0.63,,,,,,
1.00,0.00,1,JewBiling,1.10,0.27,-0.73,-0.07,,,,,,
1.00,0.00,1,JewBiling,1.90,-0.43,-1.10,0.23,,,,,,
1.00,0.00,1,JewBiling,2.50,0.00,-1.33,-0.33,,,,,,
1.00,0.00,1,JewBiling,0.90,-1.60,0.40,1.07,,,,,,
1.00,0.00,1,JewBiling,0.60,1.10,-0.57,-0.23,,,,,,
1.00,0.00,1,JewBiling,0.40,0.57,-1.10,0.57,,,,,,
1.00,0.00,1,JewBiling,1.10,0.60,-0.07,-0.40,,,,,,
1.00,0.00,1,JewBiling,0.20,0.70,0.37,-0.97,,,,,,
1.00,0.00,1,JewBiling,0.80,0.97,-1.37,0.63,,,,,,
1.00,0.00,1,JewBiling,0.90,0.73,-1.93,0.40,,,,,,
1.00,0.00,1,JewBiling,0.40,-0.10,-0.77,0.90,,,,,,
1.00,0.00,1,JewBiling,2.40,0.23,-0.77,-1.10,,,,,,
1.00,0.00,1,JewBiling,1.30,0.63,-0.37,-0.70,,,,,,
1.00,0.00,1,JewBiling,2.40,-0.10,-0.77,-0.77,,,,,,
1.00,0.00,1,JewBiling,1.30,0.13,-0.53,-0.20,,,,,,
1.00,0.00,1,JewBiling,0.60,0.77,-1.57,0.77,,,,,,
1.00,0.00,1,JewBiling,0.50,0.17,-0.50,0.50,,,,,,
1.00,0.00,1,JewBiling,3.20,-0.47,-0.47,-0.80,,,,,,
1.00,0.00,1,JewBiling,2.10,1.43,-1.57,-0.57,,,,,,
1.00,0.00,1,JewBiling,0.30,0.47,-0.87,0.47,,,,,,
1.00,0.00,1,JewBiling,0.80,0.47,-0.53,-0.53,,,,,,
1.00,0.00,1,JewBiling,1.60,-0.23,-0.23,-0.57,,,,,,
1.00,0.00,1,JewBiling,0.60,0.93,-0.40,-0.73,,,,,,
1.00,0.00,1,JewBiling,0.00,0.83,-0.17,-0.17,,,,,,
1.00,0.00,1,JewBiling,1.20,0.87,-1.80,0.20,,,,,,
1.00,0.00,1,JewBiling,2.10,-0.07,-0.07,-1.07,,,,,,
1.00,0.00,1,JewBiling,-1.60,0.40,-0.27,1.40,,,,,,
1.00,0.00,1,JewBiling,0.40,-0.43,0.90,-0.77,,,,,,
1.00,0.00,1,JewBiling,0.50,0.00,0.00,-0.33,,,,,,
1.00,0.00,1,JewBiling,0.70,0.87,-1.47,0.53,,,,,,
1.00,0.00,1,JewBiling,0.70,1.37,-1.97,1.03,,,,,,
1.00,0.00,1,JewBiling,0.80,0.97,-1.37,0.30,,,,,,
1.00,0.00,1,JewBiling,1.20,-0.80,0.20,-0.47,,,,,,
1.00,0.00,1,JewBiling,1.40,-1.10,0.23,0.57,,,,,,
2.00,0.00,2,JewMix,1.10,0.77,-1.23,0.10,,,,,,
